claim_id,product_category,product_name,claim_text,greenwashing_type,vagueness_score,evidence_present,certification_present,credibility_score,consumer_risk_score,environmental_confidence,greenwashing_risk,why_flagged,eco_alternatives,waste_type,waste_guidance,educational_note,qr_code_id
23,Electronics,Electronics Product 23,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1023
24,Home Cleaning,Home Cleaning Product 24,This product is eco-friendly,No Proof,0.1,1,0,58,42,48,Medium,Claim lacks sufficient measurable evidence,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1024
25,Personal Care,Personal Care Product 25,Made with 30% recycled materials and FSC certified,No Proof,0.4,0,1,52,48,62,Medium,Claim lacks sufficient measurable evidence,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1025
26,Beverages,Beverages Product 26,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1026
27,Baby Products,Baby Products Product 27,This product is eco-friendly and green and sustainable,No Proof,0.9,1,0,42,58,32,Medium,Claim lacks sufficient measurable evidence,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1027
28,Stationery,Stationery Product 28,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1028
29,Furniture,Furniture Product 29,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1029
30,Cosmetics,Cosmetics Product 30,Made with 30% recycled materials and FSC certified,None,0.7,1,1,86,14,86,Low,Claim is supported by measurable evidence or certification,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1030
31,Clothing,Clothing Product 31,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1031
32,Food Packaging,Food Packaging Product 32,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1032
33,Electronics,Electronics Product 33,This product is eco-friendly,No Proof,0.4,1,0,52,48,42,Medium,Claim lacks sufficient measurable evidence,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1033
34,Home Cleaning,Home Cleaning Product 34,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1034
35,Personal Care,Personal Care Product 35,Made with 30% recycled materials and FSC certified,No Proof,0.9,0,1,42,58,52,Medium,Claim lacks sufficient measurable evidence,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1035
36,Beverages,Beverages Product 36,This product is eco-friendly,No Proof,0.1,1,0,58,42,48,Medium,Claim lacks sufficient measurable evidence,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1036
37,Baby Products,Baby Products Product 37,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1037
38,Stationery,Stationery Product 38,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1038
39,Furniture,Furniture Product 39,This product is eco-friendly and green and sustainable,No Proof,0.9,1,0,42,58,32,Medium,Claim lacks sufficient measurable evidence,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1039
40,Cosmetics,Cosmetics Product 40,Made with 30% recycled materials and FSC certified,No Proof,0.1,0,1,58,42,68,Medium,Claim lacks sufficient measurable evidence,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1040
41,Clothing,Clothing Product 41,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1041
42,Food Packaging,Food Packaging Product 42,This product is eco-friendly and green,No Proof,0.7,1,0,46,54,36,Medium,Claim lacks sufficient measurable evidence,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1042
43,Electronics,Electronics Product 43,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1043
44,Home Cleaning,Home Cleaning Product 44,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1044
45,Personal Care,Personal Care Product 45,Made with 30% recycled materials and FSC certified,None,0.4,1,1,92,8,92,Low,Claim is supported by measurable evidence or certification,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1045
46,Beverages,Beverages Product 46,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1046
47,Baby Products,Baby Products Product 47,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1047
48,Stationery,Stationery Product 48,This product is eco-friendly,No Proof,0.1,1,0,58,42,48,Medium,Claim lacks sufficient measurable evidence,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1048
49,Furniture,Furniture Product 49,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1049
50,Cosmetics,Cosmetics Product 50,Made with 30% recycled materials and FSC certified,No Proof,0.7,0,1,46,54,56,Medium,Claim lacks sufficient measurable evidence,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1050
51,Clothing,Clothing Product 51,This product is eco-friendly and green and sustainable,No Proof,0.9,1,0,42,58,32,Medium,Claim lacks sufficient measurable evidence,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1051
52,Food Packaging,Food Packaging Product 52,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1052
53,Electronics,Electronics Product 53,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1053
54,Home Cleaning,Home Cleaning Product 54,This product is eco-friendly and green,No Proof,0.7,1,0,46,54,36,Medium,Claim lacks sufficient measurable evidence,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1054
55,Personal Care,Personal Care Product 55,Made with 30% recycled materials and FSC certified,No Proof,0.9,0,1,42,58,52,Medium,Claim lacks sufficient measurable evidence,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1055
56,Beverages,Beverages Product 56,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1056
57,Baby Products,Baby Products Product 57,This product is eco-friendly,No Proof,0.4,1,0,52,48,42,Medium,Claim lacks sufficient measurable evidence,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1057
58,Stationery,Stationery Product 58,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1058
59,Furniture,Furniture Product 59,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1059
60,Cosmetics,Cosmetics Product 60,Made with 30% recycled materials and FSC certified,None,0.1,1,1,98,2,98,Low,Claim is supported by measurable evidence or certification,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1060
61,Clothing,Clothing Product 61,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1061
62,Food Packaging,Food Packaging Product 62,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1062
63,Electronics,Electronics Product 63,This product is eco-friendly and green and sustainable,No Proof,0.9,1,0,42,58,32,Medium,Claim lacks sufficient measurable evidence,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1063
64,Home Cleaning,Home Cleaning Product 64,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1064
65,Personal Care,Personal Care Product 65,Made with 30% recycled materials and FSC certified,No Proof,0.4,0,1,52,48,62,Medium,Claim lacks sufficient measurable evidence,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1065
66,Beverages,Beverages Product 66,This product is eco-friendly and green,No Proof,0.7,1,0,46,54,36,Medium,Claim lacks sufficient measurable evidence,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1066
67,Baby Products,Baby Products Product 67,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1067
68,Stationery,Stationery Product 68,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1068
69,Furniture,Furniture Product 69,This product is eco-friendly,No Proof,0.4,1,0,52,48,42,Medium,Claim lacks sufficient measurable evidence,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1069
70,Cosmetics,Cosmetics Product 70,Made with 30% recycled materials and FSC certified,No Proof,0.7,0,1,46,54,56,Medium,Claim lacks sufficient measurable evidence,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1070
71,Clothing,Clothing Product 71,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1071
72,Food Packaging,Food Packaging Product 72,This product is eco-friendly,No Proof,0.1,1,0,58,42,48,Medium,Claim lacks sufficient measurable evidence,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1072
73,Electronics,Electronics Product 73,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1073
74,Home Cleaning,Home Cleaning Product 74,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1074
75,Personal Care,Personal Care Product 75,Made with 30% recycled materials and FSC certified,None,0.9,1,1,82,18,82,Low,Claim is supported by measurable evidence or certification,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1075
76,Beverages,Beverages Product 76,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1076
77,Baby Products,Baby Products Product 77,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1077
78,Stationery,Stationery Product 78,This product is eco-friendly and green,No Proof,0.7,1,0,46,54,36,Medium,Claim lacks sufficient measurable evidence,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1078
79,Furniture,Furniture Product 79,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1079
80,Cosmetics,Cosmetics Product 80,Made with 30% recycled materials and FSC certified,No Proof,0.1,0,1,58,42,68,Medium,Claim lacks sufficient measurable evidence,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1080
81,Clothing,Clothing Product 81,This product is eco-friendly,No Proof,0.4,1,0,52,48,42,Medium,Claim lacks sufficient measurable evidence,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1081
82,Food Packaging,Food Packaging Product 82,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1082
83,Electronics,Electronics Product 83,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1083
84,Home Cleaning,Home Cleaning Product 84,This product is eco-friendly,No Proof,0.1,1,0,58,42,48,Medium,Claim lacks sufficient measurable evidence,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1084
85,Personal Care,Personal Care Product 85,Made with 30% recycled materials and FSC certified,No Proof,0.4,0,1,52,48,62,Medium,Claim lacks sufficient measurable evidence,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1085
86,Beverages,Beverages Product 86,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1086
87,Baby Products,Baby Products Product 87,This product is eco-friendly and green and sustainable,No Proof,0.9,1,0,42,58,32,Medium,Claim lacks sufficient measurable evidence,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1087
88,Stationery,Stationery Product 88,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1088
89,Furniture,Furniture Product 89,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1089
90,Cosmetics,Cosmetics Product 90,Made with 30% recycled materials and FSC certified,None,0.7,1,1,86,14,86,Low,Claim is supported by measurable evidence or certification,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1090
91,Clothing,Clothing Product 91,This product is eco-friendly and green and sustainable,Vagueness,0.9,0,0,2,98,2,High,Claim uses vague environmental language without proof,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1091
92,Food Packaging,Food Packaging Product 92,This product is eco-friendly,Vagueness,0.1,0,0,18,82,18,High,Claim uses vague environmental language without proof,Use certified biodegradable or compostable packaging,Biodegradable,Dispose in compostable waste where facilities exist,Greenwashing often relies on vague environmental claims,ECO-1092
93,Electronics,Electronics Product 93,This product is eco-friendly,No Proof,0.4,1,0,52,48,42,Medium,Claim lacks sufficient measurable evidence,Select Energy Star–certified and repairable devices,Electronic,Send to authorized e-waste recycling centers,Greenwashing often relies on vague environmental claims,ECO-1093
94,Home Cleaning,Home Cleaning Product 94,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,"Use eco-certified, low-toxicity cleaning products",Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1094
95,Personal Care,Personal Care Product 95,Made with 30% recycled materials and FSC certified,No Proof,0.9,0,1,42,58,52,Medium,Claim lacks sufficient measurable evidence,Choose products with transparent ingredient disclosure,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1095
96,Beverages,Beverages Product 96,This product is eco-friendly,No Proof,0.1,1,0,58,42,48,Medium,Claim lacks sufficient measurable evidence,Prefer reusable glass or aluminum containers,Glass / Aluminum,Recycle through municipal recycling systems,Greenwashing often relies on vague environmental claims,ECO-1096
97,Baby Products,Baby Products Product 97,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Select products certified for safety and sustainability,Mixed,Segregate components before disposal,Greenwashing often relies on vague environmental claims,ECO-1097
98,Stationery,Stationery Product 98,This product is eco-friendly and green,Vagueness,0.7,0,0,6,94,6,High,Claim uses vague environmental language without proof,Use recycled paper or refillable stationery,Paper,Recycle or compost if untreated,Greenwashing often relies on vague environmental claims,ECO-1098
99,Furniture,Furniture Product 99,This product is eco-friendly and green and sustainable,No Proof,0.9,1,0,42,58,32,Medium,Claim lacks sufficient measurable evidence,Prefer FSC-certified wood and low-VOC finishes,Wood / Mixed,Reuse or dispose according to local regulations,Greenwashing often relies on vague environmental claims,ECO-1099
100,Cosmetics,Cosmetics Product 100,Made with 30% recycled materials and FSC certified,No Proof,0.1,0,1,58,42,68,Medium,Claim lacks sufficient measurable evidence,Choose products with FSC-certified packaging and cruelty-free labels,Plastic,Dispose as dry recyclable waste after cleaning,Greenwashing often relies on vague environmental claims,ECO-1100
101,Clothing,Clothing Product 101,This product is eco-friendly,Vagueness,0.4,0,0,12,88,12,High,Claim uses vague environmental language without proof,Prefer GOTS-certified organic cotton or recycled fabric brands,Textile,"Donate, reuse, or recycle through textile programs",Greenwashing often relies on vague environmental claims,ECO-1101
